"Tarih","Saat","Toplam (MWh)","Doðal Gaz","Barajlý","Linyit","Akarsu","Ýthal Kömür","Rüzgar","Güneþ","Fuel Oil","Jeotermal","Asfaltit Kömür","Taþ Kömür","Biyokütle","Nafta","LNG","Uluslararasý"
"01.01.2018","00:00","27.320,73","6.926,78","4.820,40","5.226,32","1.900,32","5.314,05","1.179,51","0,00","176,60","801,09","278,20","189,50","210,96","0,00","0,00","297,00"
"01.01.2018","01:00","26.233,25","6.603,44","3.644,32","5.277,19","1.877,83","5.715,61","1.148,46","0,00","174,20","803,21","284,82","205,50","211,67","0,00","0,00","287,00"
"01.01.2018","02:00","24.544,26","6.040,77","2.711,00","5.325,47","1.708,49","5.701,37","1.216,38","0,00","177,91","804,28","278,20","201,50","209,89","0,00","0,00","169,00"
"01.01.2018","03:00","23.780,29","5.938,46","2.524,37","5.265,91","1.662,59","5.205,43","1.298,11","0,00","171,50","805,61","271,57","211,50","211,24","0,00","0,00","214,00"
"01.01.2018","04:00","23.103,66","5.665,41","2.462,71","5.282,88","1.697,96","4.804,19","1.220,91","0,00","165,00","806,01","273,78","307,50","214,31","0,00","0,00","203,00"
"01.01.2018","05:00","22.979,23","5.738,26","2.318,44","5.186,43","1.623,42","4.972,72","1.138,81","0,00","163,40","808,10","273,78","339,50","215,37","0,00","0,00","201,00"
"01.01.2018","06:00","23.177,33","5.897,56","2.353,83","5.145,16","1.588,59","5.066,64","1.104,43","0,00","163,60","806,36","271,57","363,50","215,09","0,00","0,00","201,00"
"01.01.2018","07:00","23.783,56","6.544,48","2.219,64","5.174,07","1.545,98","5.135,38","1.109,53","0,00","163,70","806,95","273,78","364,50","214,55","0,00","0,00","231,00"
"01.01.2018","08:00","24.257,38","7.157,77","2.182,86","5.079,02","1.730,98","4.767,37","1.153,98","0,24","179,90","805,21","278,20","363,50","210,80","0,00","1,55","346,00"
"01.01.2018","09:00","25.715,01","7.589,14","2.457,90","5.141,94","1.952,21","5.326,18","1.180,34","1,46","175,10","801,11","282,61","354,50","216,67","0,00","1,85","234,00"
"01.01.2018","10:00","27.273,50","8.904,99","2.663,84","4.959,43","2.014,13","5.572,04","1.115,03","1,83","177,90","787,43","275,99","356,50","209,39","0,00","0,00","235,00"
"01.01.2018","11:00","28.405,74","9.354,41","3.337,19","4.898,07","2.142,04","5.581,03","1.053,86","3,53","175,80","776,76","275,99","361,50","211,82","0,00","1,74","232,00"
"01.01.2018","12:00","28.788,81","9.562,13","3.569,16","4.869,49","2.094,05","5.577,67","1.058,09","4,18","180,40","767,04","273,78","371,50","214,64","0,00","1,68","245,00"
"01.01.2018","13:00","29.028,27","9.931,63","3.402,55","4.824,28","2.190,03","5.654,30","1.001,33","5,74","177,20","766,70","273,78","350,50","215,52","0,00","1,71","233,00"
"01.01.2018","14:00","29.151,46","9.976,94","3.268,89","4.792,84","2.198,04","5.797,42","1.059,46","3,53","206,50","765,94","271,57","360,50","218,07","0,00","1,76","230,00"
"01.01.2018","15:00","29.141,38","9.851,06","3.207,37","4.863,48","2.086,44","5.883,62","1.165,78","1,91","205,50","747,89","275,99","373,00","209,62","0,00","1,72","268,00"
"01.01.2018","16:00","29.748,83","10.027,49","3.690,03","4.890,28","1.991,64","5.857,98","1.210,57","0,84","183,70","750,84","273,78","366,50","211,38","0,00","1,80","292,00"
"01.01.2018","17:00","31.566,83","10.617,75","4.451,60","4.955,27","2.218,83","5.894,27","1.375,69","0,10","177,60","775,84","260,53","361,50","219,17","0,00","1,68","257,00"
"01.01.2018","18:00","33.127,33","11.079,68","5.539,18","5.044,08","2.277,68","5.895,40","1.479,08","0,00","164,90","781,35","81,69","362,50","234,01","0,00","1,78","186,00"
"01.01.2018","19:00","33.029,67","10.889,17","5.638,04","5.025,12","2.179,91","5.914,22","1.584,92","0,00","180,80","792,03","79,48","362,50","231,72","0,00","1,76","150,00"
"01.01.2018","20:00","32.428,32","10.567,49","5.082,56","5.059,43","2.151,60","6.078,88","1.679,51","0,00","179,40","796,95","81,69","359,50","233,58","0,00","1,73","156,00"
"01.01.2018","21:00","31.765,34","10.332,57","4.479,06","4.970,15","2.111,98","6.198,44","1.801,53","0,00","176,00","799,59","79,48","358,50","237,22","0,00","1,82","219,00"
"01.01.2018","22:00","31.488,04","10.037,06","4.406,89","4.989,10","1.974,87","6.299,28","1.919,22","0,00","181,00","801,48","125,85","361,50","233,20","0,00","1,59","157,00"
"01.01.2018","23:00","30.144,50","9.846,56","3.339,29","4.979,55","1.980,47","6.086,34","2.110,57","0,00","177,80","799,62","183,25","354,50","218,15","0,00","0,00","68,40"
"02.01.2018","00:00","28.404,00","9.403,44","2.102,40","5.020,31","1.820,33","5.859,50","2.234,77","0,00","177,10","822,27","256,12","347,50","235,26","0,00","0,00","125,00"
"02.01.2018","01:00","26.785,18","9.160,88","989,75","4.958,92","1.565,31","5.608,80","2.378,81","0,00","173,40","827,03","282,62","363,50","238,16","0,00","0,00","238,00"
"02.01.2018","02:00","25.632,25","8.651,49","772,17","4.875,26","1.454,94","5.361,50","2.462,62","0,00","173,90","823,99","273,78","356,50","236,10","0,00","0,00","190,00"
"02.01.2018","03:00","25.141,90","8.053,17","787,12","4.905,01","1.534,74","5.269,80","2.531,80","0,00","175,90","830,07","275,99","355,50","235,80","0,00","0,00","187,00"
"02.01.2018","04:00","24.993,39","7.925,55","685,33","4.955,16","1.501,71","5.265,60","2.652,93","0,00","174,30","827,38","273,78","373,50","237,15","0,00","0,00","121,00"
"02.01.2018","05:00","25.342,27","8.231,03","578,28","4.948,12","1.449,78","5.272,10","2.864,98","0,00","172,60","827,73","273,78","349,50","233,37","0,00","0,00","141,00"
"02.01.2018","06:00","26.724,02","9.079,99","838,12","4.921,04","1.543,58","5.453,30","2.888,59","0,00","177,10","831,39","273,78","357,50","232,63","0,00","0,00","127,00"
"02.01.2018","07:00","30.150,75","10.845,54","1.360,51","4.992,71","1.659,05","6.364,00","2.858,28","0,00","179,40","825,11","273,78","372,50","235,87","0,00","0,00","184,00"
"02.01.2018","08:00","35.115,00","13.443,76","3.112,30","4.947,27","1.823,47","6.707,40","3.051,18","1,08","173,10","827,77","278,20","363,50","228,35","0,00","1,62","156,00"
"02.01.2018","09:00","37.927,34","15.154,72","4.133,28","4.990,94","2.079,85","6.755,60","2.997,31","2,18","181,40","814,98","287,03","351,50","235,95","0,00","1,60","-59,00"
"02.01.2018","10:00","38.377,26","15.484,16","4.589,99","4.935,22","2.079,15","6.745,80","2.810,43","6,39","180,40","809,31","278,20","353,50","240,05","0,00","1,66","-137,00"
"02.01.2018","11:00","38.683,35","15.461,14","4.932,09","4.936,50","2.070,39","6.766,40","2.843,57","9,46","175,70","793,53","273,78","355,50","243,51","0,00","1,78","-180,00"
"02.01.2018","12:00","36.912,43","14.641,67","4.197,89","4.942,24","1.905,60","6.764,20","2.891,62","11,64","176,30","791,82","273,78","357,50","248,51","0,00","1,66","-292,00"
"02.01.2018","13:00","36.990,29","14.912,63","4.037,47","4.986,20","1.881,42","6.789,80","2.780,90","12,22","173,00","786,22","273,78","346,50","248,45","0,00","1,70","-240,00"
"02.01.2018","14:00","37.438,65","14.878,89","4.489,53","5.071,01","1.983,35","6.762,40","2.642,90","9,86","164,40","785,44","273,78","345,50","247,92","0,00","1,67","-218,00"
"02.01.2018","15:00","37.373,92","15.084,40","4.574,77","5.027,33","1.877,03","6.793,90","2.408,95","6,61","164,00","801,41","275,99","347,50","242,25","0,00","1,78","-232,00"
"02.01.2018","16:00","38.056,63","15.571,90","4.821,83","4.960,21","1.886,27","6.806,50","2.307,83","1,97","167,90","794,12","278,20","359,50","235,74","0,00","1,66","-137,00"
"02.01.2018","17:00","39.418,05","15.614,53","6.116,71","5.056,25","2.046,33","6.824,40","2.136,86","0,06","165,50","784,84","282,61","340,50","241,73","0,00","1,73","-194,00"
"02.01.2018","18:00","39.099,14","16.196,26","5.306,96","5.062,38","2.021,85","6.851,70","1.999,91","0,00","167,10","783,07","275,99","353,50","242,76","0,00","1,66","-164,00"
"02.01.2018","19:00","38.220,73","15.593,75","5.280,53","5.010,70","2.009,90","6.850,90","2.028,36","0,00","170,90","793,92","273,78","344,50","240,82","0,00","1,67","-379,00"
"02.01.2018","20:00","36.768,04","14.362,64","4.874,87","4.977,57","1.966,16","6.820,80","2.238,39","0,00","169,70","808,85","273,78","361,50","242,78","0,00","0,00","-329,00"
"02.01.2018","21:00","36.132,30","14.736,20","3.683,11","5.018,16","1.905,14","6.851,80","2.334,12","0,00","168,50","805,87","275,99","350,50","242,91","0,00","0,00","-240,00"
"02.01.2018","22:00","35.513,32","13.612,12","4.035,04","5.037,35","1.850,64","6.822,00","2.488,11","0,00","176,90","797,40","271,57","352,50","241,69","0,00","0,00","-172,00"
"02.01.2018","23:00","34.012,42","12.738,46","3.395,19","5.107,15","1.890,77","6.591,30","2.491,89","0,00","176,90","797,38","256,12","343,50","241,76","0,00","0,00","-18,00"
"03.01.2018","00:00","31.652,37","10.862,38","2.452,74","5.204,43","1.613,19","6.719,10","2.764,44","0,00","184,70","800,03","275,99","366,50","243,87","0,00","0,00","165,00"
"03.01.2018","01:00","29.971,80","10.611,85","1.268,06","5.058,66","1.368,43","6.764,00","2.829,59","0,00","179,00","800,28","282,62","367,50","239,81","0,00","0,00","202,00"
"03.01.2018","02:00","28.810,64","9.735,12","955,59","5.013,63","1.285,11","6.960,40","2.857,24","0,00","169,50","800,78","278,20","354,50","244,57","0,00","0,00","156,00"
"03.01.2018","03:00","28.246,83","9.275,56","939,01","4.940,47","1.361,71","6.808,20","2.896,14","0,00","169,90","800,65","271,57","371,50","233,12","0,00","0,00","179,00"
"03.01.2018","04:00","27.940,31","9.650,55","947,58","4.878,89","1.301,58","6.502,80","2.638,44","0,00","170,10","795,67","275,99","369,50","231,21","0,00","0,00","178,00"
"03.01.2018","05:00","28.291,15","9.610,26","966,65","4.875,87","1.385,54","6.805,60","2.687,01","0,00","168,00","786,36","271,57","358,50","222,79","0,00","0,00","153,00"
"03.01.2018","06:00","29.443,64","10.949,41","1.101,03","4.809,37","1.383,11","6.622,10","2.535,31","0,00","172,90","799,52","275,99","364,50","230,40","0,00","0,00","200,00"
"03.01.2018","07:00","32.506,69","12.421,44","2.038,61","4.794,39","1.401,00","7.259,20","2.616,77","0,09","183,30","798,61","275,99","362,50","234,79","0,00","0,00","120,00"
"03.01.2018","08:00","36.367,79","14.941,80","2.698,54","4.768,78","1.750,85","7.420,00","2.822,39","1,89","179,50","798,93","271,57","351,50","237,04","0,00","0,00","125,00"
"03.01.2018","09:00","38.809,87","16.152,52","3.951,58","4.750,54","2.084,75","7.401,30","2.669,44","5,71","180,60","787,52","282,62","341,50","245,79","0,00","0,00","-44,00"
"03.01.2018","10:00","39.661,25","16.274,04","5.056,15","4.702,87","2.195,22","7.420,10","2.531,31","8,61","176,20","750,82","273,78","348,50","244,32","0,00","0,00","-320,67"
"03.01.2018","11:00","39.606,55","16.871,84","4.534,94","4.699,93","2.266,99","7.421,01","2.314,14","9,56","172,40","727,23","275,99","350,50","245,18","0,00","0,00","-283,16"
"03.01.2018","12:00","37.977,07","15.315,72","4.545,31","4.796,32","2.128,93","7.420,83","2.373,43","8,99","177,70","759,68","271,57","330,50","244,09","0,00","0,00","-396,00"
"03.01.2018","13:00","38.832,24","15.868,83","4.670,15","4.836,48","2.063,76","7.462,07","2.421,01","7,41","171,70","783,69","271,57","350,50","235,34","0,00","0,00","-310,27"
"03.01.2018","14:00","39.116,07","16.146,63","4.498,33","4.810,22","2.184,50","7.517,08","2.407,32","6,70","176,40","781,23","275,99","351,50","237,75","0,00","0,00","-277,58"
"03.01.2018","15:00","39.200,27","16.657,45","4.074,86","4.807,19","2.229,39","7.641,06","2.245,98","2,22","174,30","770,79","273,78","341,50","239,31","0,00","0,00","-257,56"
"03.01.2018","16:00","39.660,23","16.505,53","4.683,55","4.823,21","2.156,48","7.789,27","2.151,54","0,59","173,80","780,80","275,99","361,50","242,69","0,00","0,00","-284,72"
"03.01.2018","17:00","40.262,55","16.529,31","5.645,22","4.916,53","2.156,43","7.374,56","2.010,00","0,00","175,40","780,62","280,41","348,00","247,07","0,00","0,00","-201,00"
"03.01.2018","18:00","39.721,76","16.434,93","5.564,63","4.954,75","2.251,41","7.244,82","1.833,39","0,00","175,40","782,40","275,99","334,50","249,00","0,00","0,00","-379,46"
"03.01.2018","19:00","38.537,97","15.514,78","5.311,63","5.030,73","2.243,22","7.250,80","1.760,70","0,00","173,60","810,28","273,78","337,50","249,70","0,00","0,00","-418,75"
"03.01.2018","20:00","37.571,67","15.411,90","4.457,08","5.112,14","2.043,42","7.276,58","1.812,57","0,00","174,40","813,23","275,99","339,50","246,07","0,00","0,00","-391,21"
"03.01.2018","21:00","36.620,30","14.206,74","4.550,49","5.201,67","2.066,43","7.324,18","1.786,03","0,00","174,50","812,27","273,78","342,50","242,34","0,00","0,00","-360,63"
"03.01.2018","22:00","36.086,43","14.132,18","4.073,23","5.249,10","1.972,36","7.439,26","1.650,61","0,00","175,10","813,51","273,78","354,50","242,80","0,00","0,00","-290,00"
"03.01.2018","23:00","34.596,10","13.066,43","3.454,33","5.269,14","2.003,17","7.619,84","1.513,75","0,00","173,60","814,35","275,99","337,50","239,00","0,00","0,00","-171,00"
"04.01.2018","00:00","32.157,75","11.383,20","3.128,36","5.318,65","1.700,52","7.388,60","1.314,54","0,00","179,70","820,17","278,20","343,50","229,31","0,00","0,00","73,00"
"04.01.2018","01:00","30.417,76","10.235,78","2.496,62","5.243,38","1.674,61","7.495,88","1.264,17","0,00","175,20","820,88","287,03","341,50","220,71","0,00","0,00","162,00"
"04.01.2018","02:00","29.184,91","10.186,45","1.964,03","5.175,36","1.649,41","6.956,24","1.260,50","0,00","176,10","821,41","273,78","342,50","218,13","0,00","0,00","161,00"
"04.01.2018","03:00","28.605,18","9.775,97","1.453,05","5.240,98","1.689,13","7.291,20","1.162,83","0,00","175,80","819,23","273,78","341,50","219,71","0,00","0,00","162,00"
"04.01.2018","04:00","28.223,20","9.412,61","1.575,25","5.144,59","1.642,64","7.233,15","1.201,06","0,00","167,10","826,58","275,99","344,50","217,73","0,00","0,00","182,00"
"04.01.2018","05:00","28.655,46","9.509,23","1.726,22","5.245,61","1.704,18","7.079,90","1.322,10","0,00","167,20","827,43","271,57","342,50","219,52","0,00","0,00","240,00"
"04.01.2018","06:00","29.941,96","10.165,22","2.199,31","5.219,02","1.790,24","7.156,08","1.409,26","0,00","167,20","824,43","275,99","350,50","224,71","0,00","0,00","160,00"
"04.01.2018","07:00","33.072,50","12.483,53","2.461,58","5.130,26","1.824,74","7.738,82","1.390,42","0,03","176,10","827,97","273,78","341,50","227,77","0,00","0,00","196,00"
"04.01.2018","08:00","36.882,54","14.931,39","3.457,72","4.966,38","2.116,38","8.027,09","1.381,70","0,75","172,50","823,62","273,78","348,50","227,21","0,00","1,52","154,00"
"04.01.2018","09:00","39.546,69","16.549,47","4.578,07","4.999,35","2.308,84","8.023,37","1.498,97","1,78","174,10","817,12","289,24","334,50","236,76","0,00","1,68","-266,56"
"04.01.2018","10:00","40.499,69","16.606,14","5.273,26","5.025,69","2.434,44","8.034,71","1.751,85","4,80","173,50","808,41","273,78","323,50","222,13","0,00","1,64","-434,16"
"04.01.2018","11:00","40.862,63","16.894,99","5.630,37","4.730,95","2.472,30","8.043,83","1.662,38","3,93","178,50","802,43","275,99","333,50","219,94","0,00","1,59","-388,07"
"04.01.2018","12:00","39.410,61","16.237,88","4.957,75","4.632,60","2.410,77","8.053,33","1.725,10","4,37","184,20","801,57","273,78","319,50","227,54","0,00","1,62","-419,40"
"04.01.2018","13:00","39.540,27","16.247,18","4.677,99","4.811,53","2.425,39","8.053,83","1.821,79","4,76","181,60","794,41","273,78","329,50","234,05","0,00","1,58","-317,12"
"04.01.2018","14:00","39.860,12","15.961,64","5.161,72","4.845,78","2.462,18","8.058,42","1.851,73","3,21","185,90","787,29","273,78","324,50","245,52","0,00","1,51","-303,06"
"04.01.2018","15:00","39.553,50","16.200,18","4.700,54","4.889,86","2.412,24","7.984,90","1.818,93","2,31","176,80","787,64","273,78","331,50","245,35","0,00","1,65","-272,18"
"04.01.2018","16:00","39.972,41","16.193,22","5.157,96","4.929,93","2.383,06","7.994,56","1.862,05","0,71","180,40","791,26","275,99","331,50","246,96","0,00","1,55","-376,74"
"04.01.2018","17:00","40.394,37","15.784,68","5.621,23","5.048,03","2.389,22","8.001,00","2.060,75","0,10","177,10","785,97","282,62","324,50","246,45","0,00","1,69","-328,97"
"04.01.2018","18:00","39.845,73","15.177,09","5.379,40","5.171,76","2.461,99","8.015,04","2.330,39","0,00","175,80","793,42","275,99","330,50","242,11","0,00","1,59","-509,35"
"04.01.2018","19:00","38.679,31","14.260,66","4.853,01","5.327,52","2.265,21","7.971,40","2.712,08","0,00","178,80","788,79","271,57","334,50","242,60","0,00","0,00","-526,83"
"04.01.2018","20:00","38.022,14","13.897,51","4.375,25","5.290,92","2.223,17","7.665,36","3.169,40","0,00","174,60","806,93","275,99","332,50","243,61","0,00","1,73","-434,83"
"04.01.2018","21:00","36.671,40","12.598,66","3.739,06","5.329,94","2.269,69","7.976,14","3.419,63","0,00","178,20","763,93","273,78","344,50","243,55","0,00","1,50","-467,18"
"04.01.2018","22:00","36.448,59","11.800,65","4.273,66","5.338,32","2.308,75","7.537,58","3.713,84","0,00","176,10","757,85","275,99","347,50","238,87","0,00","1,64","-322,16"
"04.01.2018","23:00","34.838,24","10.144,77","4.334,52","5.350,51","2.417,58","7.306,00","3.825,69","0,00","161,20","787,22","273,78","334,50","236,41","0,00","0,00","-333,94"
