"Tarih","Saat","Toplam (MWh)","Doðal Gaz","Barajlý","Linyit","Akarsu","Ýthal Kömür","Rüzgar","Güneþ","Fuel Oil","Jeotermal","Asfaltit Kömür","Taþ Kömür","Biyokütle","Nafta","LNG","Uluslararasý"
"05.01.2018","00:00","32.236,16","8.936,69","3.160,14","5.383,70","2.083,91","6.795,96","4.027,57","0,00","166,20","810,85","271,57","347,50","242,07","0,00","0,00","10,00"
"05.01.2018","01:00","30.662,90","8.183,69","2.553,84","5.497,90","2.081,30","6.204,26","4.171,32","0,00","161,20","810,28","282,62","337,50","243,99","0,00","0,00","135,00"
"05.01.2018","02:00","29.477,27","8.120,84","1.844,71","5.387,86","2.072,71","6.054,88","4.140,73","0,00","165,20","812,59","273,78","335,50","242,47","0,00","0,00","26,00"
"05.01.2018","03:00","28.793,13","7.977,28","1.450,48","5.407,44","1.982,31","6.039,62","3.911,73","0,00","163,40","812,86","275,99","343,50","247,52","0,00","0,00","181,00"
"05.01.2018","04:00","28.616,44","8.110,82","1.480,42","5.384,79","1.943,47","6.044,30","3.637,92","0,00","164,80","814,22","271,57","340,50","250,63","0,00","0,00","173,00"
"05.01.2018","05:00","28.871,83","8.370,84","1.704,55","5.349,63","1.957,67","6.119,24","3.376,98","0,00","163,40","816,65","275,99","337,50","246,38","0,00","0,00","153,00"
"05.01.2018","06:00","30.049,82","8.450,26","2.191,76","5.352,74","2.062,14","6.627,80","3.397,30","0,00","166,40","815,99","275,99","340,50","247,94","0,00","0,00","121,00"
"05.01.2018","07:00","32.646,21","9.881,05","2.722,45","5.388,03","2.222,03","7.289,50","3.393,58","0,00","164,10","815,88","273,78","340,50","246,45","0,00","0,00","-91,14"
"05.01.2018","08:00","36.694,37","12.757,24","3.555,93","5.348,22","2.434,05","7.765,50","3.184,82","0,36","175,20","814,96","275,99","322,50","244,56","0,00","1,59","-186,55"
"05.01.2018","09:00","39.398,82","14.742,91","4.518,02","5.296,25","2.422,33","8.053,54","2.871,91","1,14","170,10","806,26","280,41","335,50","248,41","0,00","1,55","-349,51"
"05.01.2018","10:00","40.057,53","15.845,51","4.533,53","5.348,22","2.405,85","8.159,54","2.275,33","2,73","175,60","795,34","275,99","349,50","247,87","0,00","1,60","-359,08"
"05.01.2018","11:00","40.665,45","15.951,23","5.040,19","5.359,54","2.471,78","8.194,22","2.118,96","3,61","173,90","789,31","275,99","346,50","244,70","0,00","1,68","-306,16"
"05.01.2018","12:00","38.788,83","15.241,66","4.114,71","5.366,90","2.444,31","8.143,78","2.010,03","6,82","177,90","784,41","271,57","344,50","246,20","0,00","1,62","-365,58"
"05.01.2018","13:00","37.457,61","14.549,31","3.581,22","5.373,02","2.504,89","7.975,40","1.949,87","7,69","177,00","782,96","275,99","342,50","254,75","0,00","1,56","-318,55"
"05.01.2018","14:00","38.842,53","15.808,10","3.756,66","5.349,17","2.511,52","8.260,42","1.782,76","8,20","177,50","777,71","273,78","279,50","252,97","0,00","1,55","-397,31"
"05.01.2018","15:00","38.739,81","15.753,66","3.855,71","5.358,89","2.477,68","8.251,11","1.642,02","4,82","170,40","777,69","275,98","271,50","245,05","0,00","1,63","-346,33"
"05.01.2018","16:00","38.934,62","15.658,86","4.024,69","5.374,32","2.488,16","8.252,23","1.676,62","1,12","167,40","781,34","275,98","333,50","246,90","0,00","1,67","-348,17"
"05.01.2018","17:00","39.567,08","15.455,66","4.986,28","5.350,38","2.420,25","8.232,67","1.721,26","0,20","171,60","788,94","282,61","338,50","253,38","0,00","1,71","-436,36"
"05.01.2018","18:00","39.295,63","15.401,69","4.898,97","5.329,10","2.365,55","8.241,62","1.712,87","0,00","173,50","799,99","278,20","334,50","250,12","0,00","1,58","-492,06"
"05.01.2018","19:00","38.247,51","14.872,46","4.390,76","5.372,12","2.261,57","8.278,81","1.723,78","0,00","173,30","804,40","273,78","339,50","252,31","0,00","1,60","-496,88"
"05.01.2018","20:00","37.241,29","14.655,59","3.895,96","5.355,29","2.119,70","8.167,13","1.660,19","0,00","173,30","814,50","271,57","336,50","247,74","0,00","1,67","-457,85"
"05.01.2018","21:00","36.369,04","14.377,54","3.710,24","5.374,46","2.172,17","7.757,21","1.547,01","0,00","176,10","817,36","275,99","329,50","250,14","0,00","1,48","-420,16"
"05.01.2018","22:00","35.958,07","14.074,42","3.961,64","5.351,00","2.189,71","7.456,53","1.488,46","0,00","174,50","816,69","273,78","329,50","249,50","0,00","1,58","-409,24"
"05.01.2018","23:00","34.760,27","12.645,78","3.969,04","5.328,74","2.253,41","7.582,43","1.422,45","0,00","174,50","820,88","275,99","317,50","248,83","0,00","0,00","-279,28"
"06.01.2018","00:00","32.641,53","11.338,78","3.529,40","5.093,65","2.119,58","7.424,07","1.345,09","0,00","174,30","820,12","273,78","324,50","242,76","0,00","0,00","-44,50"
"06.01.2018","01:00","31.000,17","10.381,47","3.301,64","4.725,17","2.122,21","7.372,11","1.312,36","0,00","177,70","822,70","282,61","337,50","244,70","0,00","0,00","-80,00"
"06.01.2018","02:00","29.459,10","9.772,70","2.490,96","4.669,59","2.027,23","7.524,99","1.207,65","0,00","172,70","823,53","284,82","338,50","251,43","0,00","0,00","-105,00"
"06.01.2018","03:00","28.719,90","9.477,10","2.619,65","4.653,38","2.157,14","6.997,17","1.077,77","0,00","165,20","821,79","267,15","336,50","252,23","0,00","0,00","-105,18"
"06.01.2018","04:00","28.282,53","9.087,49","2.595,48","4.663,97","2.161,76","7.008,81","954,90","0,00","158,80","820,99","275,99","345,50","249,84","0,00","0,00","-41,00"
"06.01.2018","05:00","28.639,62","9.671,55","2.377,57","4.674,98","2.107,78","7.021,65","882,21","0,00","161,30","826,27","271,57","343,50","252,24","0,00","0,00","49,00"
"06.01.2018","06:00","29.137,98","9.625,08","2.769,11","4.689,98","2.097,50","7.255,13","840,80","0,00","171,60","827,50","269,36","334,50","254,60","0,00","0,00","2,82"
"06.01.2018","07:00","30.914,68","11.696,37","2.265,85","4.667,23","2.199,29","7.249,65","929,79","0,08","172,40","825,20","267,16","356,50","256,80","0,00","1,36","27,00"
"06.01.2018","08:00","33.781,22","13.595,49","3.199,91","4.680,25","2.278,60","7.162,37","899,37","1,52","170,80","824,32","269,36","330,50","251,04","0,00","1,69","116,00"
"06.01.2018","09:00","36.390,43","14.897,25","4.119,81","4.643,18","2.431,42","7.478,34","811,54","5,80","173,20","820,46","271,57","337,50","256,74","0,00","1,62","142,00"
"06.01.2018","10:00","37.470,58","15.200,99","4.465,96","4.682,88","2.468,54","8.029,87","672,05","8,72","174,20","811,70","276,19","350,50","260,36","0,00","1,62","67,00"
"06.01.2018","11:00","37.625,15","15.393,52","4.758,79","4.655,03","2.458,32","8.066,58","503,04","10,33","170,90","804,58","280,41","344,50","242,53","0,00","1,62","-65,00"
"06.01.2018","12:00","36.143,35","15.059,67","3.790,90","4.679,83","2.456,35","8.021,28","429,51","11,30","174,20","788,30","273,78","352,50","251,19","0,00","1,54","-147,00"
"06.01.2018","13:00","35.767,28","15.197,93","3.900,31","4.688,15","2.368,49","7.584,26","349,65","10,27","174,20","776,65","271,57","352,50","248,57","0,00","1,73","-157,00"
"06.01.2018","14:00","35.324,09","14.834,97","4.064,17","4.663,33","2.298,10","7.261,18","362,01","8,86","174,00","782,71","275,99","358,50","240,58","0,00","1,69","-2,00"
"06.01.2018","15:00","34.545,49","14.305,60","3.957,03","4.624,13","2.283,01","7.248,70","357,76","5,94","171,60","785,15","275,99","340,50","242,45","0,00","1,63","-54,00"
"06.01.2018","16:00","34.770,09","14.066,93","4.398,60","4.669,95","2.259,08","7.326,04","338,91","2,20","163,00","785,85","273,78","337,50","251,75","0,00","1,50","-105,00"
"06.01.2018","17:00","35.985,01","13.754,96","5.700,71","4.722,82","2.358,48","7.386,22","367,80","0,17","165,50","797,09","280,41","342,50","252,78","0,00","1,57","-146,00"
"06.01.2018","18:00","37.354,78","14.808,25","6.003,47","4.670,21","2.351,41","7.488,54","434,86","0,00","164,20","806,68","273,78","347,50","246,22","0,00","1,73","-242,07"
"06.01.2018","19:00","36.813,22","14.865,39","5.398,08","4.632,50","2.339,29","7.672,58","454,42","0,00","165,00","811,67","275,99","354,50","244,47","0,00","1,57","-402,24"
"06.01.2018","20:00","36.075,74","14.263,74","4.505,17","4.641,73","2.333,82","8.256,70","517,04","0,00","166,90","816,83","273,77","352,50","240,20","0,00","1,64","-294,30"
"06.01.2018","21:00","35.407,31","14.234,71","4.206,55","4.650,38","2.325,77","7.732,68","582,51","0,00","170,10","818,81","275,98","351,50","244,75","0,00","1,57","-188,00"
"06.01.2018","22:00","34.946,77","12.501,16","5.349,80","4.717,39","2.375,99","7.569,85","687,98","0,00","164,60","821,32","278,20","341,50","246,50","0,00","1,48","-109,00"
"06.01.2018","23:00","33.901,94","11.288,89","5.240,43","4.704,22","2.356,36","7.562,61","901,63","0,00","161,00","823,31","273,78","348,50","243,21","0,00","0,00","-2,00"
"07.01.2018","00:00","31.555,03","10.527,45","3.309,84","4.699,39","2.072,54","7.940,80","1.078,07","0,00","164,40","822,91","273,78","347,50","242,35","0,00","0,00","76,00"
"07.01.2018","01:00","29.710,21","9.429,22","2.212,53","4.709,38","2.015,44","8.297,56","1.166,99","0,00","168,40","820,96","287,02","331,50","246,21","0,00","0,00","25,00"
"07.01.2018","02:00","28.212,02","8.646,78","2.097,63","4.586,14","2.068,29","7.538,62","1.257,74","0,00","152,10","820,65","278,20","348,50","244,37","0,00","0,00","173,00"
"07.01.2018","03:00","27.510,84","8.080,17","1.903,38","4.661,83","1.988,36","7.256,35","1.341,73","0,00","147,50","820,84","271,57","344,50","245,61","0,00","0,00","449,00"
"07.01.2018","04:00","26.779,76","7.882,43","1.667,51","4.692,14","1.986,02","7.231,91","1.363,27","0,00","145,70","821,78","273,78","337,50","251,72","0,00","0,00","126,00"
"07.01.2018","05:00","26.819,39","7.955,13","1.609,17","4.715,76","1.997,26","7.236,22","1.388,94","0,00","147,50","823,93","267,15","337,50","249,83","0,00","0,00","91,00"
