"Tarih","Saat","Toplam (MWh)","Rüzgar (MWh)","Biyogaz (MWh)","Kanal Tipi (MWh)","Biyokütle (MWh)","Güneþ (MWh)","Diðer (MWh)"
"01.07.2019","00:00","48,46","12,67","16,83","4,32","13,80","0,00","0,83"
"01.07.2019","01:00","48,86","13,25","16,96","4,01","13,82","0,01","0,81"
"01.07.2019","02:00","47,08","12,51","16,69","4,07","13,15","0,01","0,66"
"01.07.2019","03:00","48,12","13,45","16,52","4,22","13,62","0,05","0,26"
"01.07.2019","04:00","46,45","12,47","15,31","4,27","13,45","0,54","0,41"
"01.07.2019","05:00","69,42","12,68","15,22","4,19","13,23","23,31","0,80"
"01.07.2019","06:00","325,49","10,56","14,70","4,19","13,82","280,13","2,09"
"01.07.2019","07:00","1.244,98","9,27","15,13","4,39","13,41","1.196,78","6,00"
"01.07.2019","08:00","2.510,95","11,92","15,73","4,40","12,52","2.455,74","10,64"
"01.07.2019","09:00","3.552,41","13,47","16,03","4,44","12,71","3.491,88","13,88"
"01.07.2019","10:00","4.316,67","14,79","15,57","4,34","12,06","4.253,32","16,59"
"01.07.2019","11:00","4.721,95","17,57","14,41","4,32","9,36","4.658,41","17,89"
"01.07.2019","12:00","4.844,50","20,75","14,38","4,37","8,64","4.777,92","18,43"
"01.07.2019","13:00","4.851,26","21,34","15,35","4,39","11,57","4.780,41","18,19"
"01.07.2019","14:00","4.629,93","22,69","16,11","4,43","11,63","4.558,01","17,07"
"01.07.2019","15:00","4.057,33","24,38","16,26","4,26","11,01","3.986,64","14,79"
"01.07.2019","16:00","3.188,14","25,49","17,56","4,12","11,21","3.118,18","11,58"
"01.07.2019","17:00","2.000,89","25,94","17,60","4,36","12,50","1.934,08","6,40"
"01.07.2019","18:00","803,22","25,66","17,12","4,48","12,17","741,16","2,63"
"01.07.2019","19:00","193,28","24,80","15,89","4,51","12,90","134,02","1,16"
"01.07.2019","20:00","62,94","23,76","16,33","4,64","13,20","3,83","1,18"
"01.07.2019","21:00","57,59","21,20","17,44","4,50","13,23","0,06","1,16"
"01.07.2019","22:00","54,49","18,35","17,63","4,36","13,04","0,02","1,09"
"01.07.2019","23:00","54,63","18,44","17,63","4,39","13,24","0,01","0,91"
"02.07.2019","00:00","51,97","15,73","17,53","4,54","13,31","0,01","0,84"
"02.07.2019","01:00","51,83","16,10","17,38","4,47","13,26","0,01","0,61"
"02.07.2019","02:00","52,74","16,92","17,44","4,28","13,21","0,03","0,87"
"02.07.2019","03:00","52,25","16,53","17,50","4,12","12,97","0,04","1,09"
"02.07.2019","04:00","51,85","16,38","17,49","3,42","13,05","0,57","0,94"
"02.07.2019","05:00","72,64","14,23","16,64","3,84","13,33","23,52","1,08"
"02.07.2019","06:00","328,36","11,66","16,24","4,79","13,39","280,07","2,20"
"02.07.2019","07:00","1.231,59","11,36","16,04","4,82","13,19","1.180,07","6,10"
"02.07.2019","08:00","2.473,00","12,72","16,15","4,65","12,98","2.416,26","10,24"
"02.07.2019","09:00","3.541,00","11,97","16,33","4,42","12,58","3.482,08","13,61"
"02.07.2019","10:00","4.231,73","11,22","16,01","3,38","12,59","4.172,36","16,18"
"02.07.2019","11:00","4.669,00","11,25","15,34","4,40","12,88","4.607,62","17,52"
"02.07.2019","12:00","4.831,36","12,32","16,38","4,61","13,33","4.766,70","18,03"
"02.07.2019","13:00","4.742,98","14,46","14,70","4,69","12,89","4.678,38","17,86"
"02.07.2019","14:00","4.475,18","16,97","15,35","4,80","12,75","4.408,67","16,65"
"02.07.2019","15:00","3.907,30","19,30","17,04","4,56","12,90","3.839,14","14,37"
"02.07.2019","16:00","3.043,50","18,11","17,79","4,23","12,65","2.979,77","10,96"
"02.07.2019","17:00","1.929,08","20,12","17,60","4,19","13,62","1.866,96","6,58"
"02.07.2019","18:00","782,58","19,29","18,10","4,25","13,83","724,57","2,54"
"02.07.2019","19:00","188,98","19,42","18,66","4,40","14,34","131,44","0,73"
"02.07.2019","20:00","60,76","19,72","18,10","4,62","13,77","3,92","0,65"
"02.07.2019","21:00","55,55","19,04","16,84","4,58","14,12","0,06","0,89"
"02.07.2019","22:00","53,11","16,84","17,01","4,60","13,80","0,02","0,86"
"02.07.2019","23:00","50,14","14,54","16,73","4,53","13,30","0,01","1,02"
"03.07.2019","00:00","49,14","13,66","16,78","4,62","13,16","0,01","0,92"
"03.07.2019","01:00","46,36","10,76","16,40","4,65","13,94","0,01","0,60"
"03.07.2019","02:00","44,24","9,18","16,60","4,54","13,49","0,02","0,41"
"03.07.2019","03:00","43,63","8,95","16,52","4,38","13,30","0,05","0,43"
"03.07.2019","04:00","43,80","8,60","16,64","4,42","13,46","0,52","0,16"
"03.07.2019","05:00","66,71","7,83","16,26","4,40","13,30","24,58","0,34"
"03.07.2019","06:00","314,51","5,90","15,99","4,24","12,85","273,99","1,54"
"03.07.2019","07:00","1.147,86","5,31","15,97","3,92","13,09","1.104,63","4,95"
"03.07.2019","08:00","2.310,24","5,45","15,83","4,42","12,08","2.263,37","9,09"
"03.07.2019","09:00","3.325,75","6,37","14,38","4,74","11,69","3.276,13","12,44"
"03.07.2019","10:00","4.087,91","8,34","14,70","4,86","12,83","4.032,32","14,86"
"03.07.2019","11:00","4.543,86","9,61","15,38","4,72","12,09","4.486,31","15,75"
"03.07.2019","12:00","4.702,23","11,05","16,38","4,56","13,10","4.640,47","16,67"
"03.07.2019","13:00","4.646,27","12,61","16,81","4,42","12,77","4.583,11","16,56"
"03.07.2019","14:00","4.330,96","15,28","16,88","4,39","12,16","4.266,89","15,37"
"03.07.2019","15:00","3.789,44","16,09","16,34","4,58","12,51","3.726,76","13,17"
"03.07.2019","16:00","2.959,32","14,92","17,17","4,53","12,53","2.900,74","9,43"
"03.07.2019","17:00","1.862,18","14,90","17,01","4,54","12,79","1.807,01","5,93"
"03.07.2019","18:00","763,15","15,84","16,16","4,32","12,50","711,70","2,64"
"03.07.2019","19:00","186,86","16,05","14,52","4,18","13,45","137,99","0,68"
"03.07.2019","20:00","52,06","14,05","15,33","4,24","13,93","4,21","0,29"
"03.07.2019","21:00","50,07","15,38","15,37","4,60","14,49","0,06","0,17"
"03.07.2019","22:00","48,56","13,85","15,08","4,67","14,30","0,02","0,64"
"03.07.2019","23:00","52,64","16,69","14,86","4,77","14,28","0,02","2,00"
"04.07.2019","00:00","54,86","19,37","14,97","4,70","14,13","0,01","1,68"
"04.07.2019","01:00","60,41","24,86","15,00","4,76","14,25","0,01","1,53"
"04.07.2019","02:00","59,82","24,33","15,18","4,79","14,27","0,01","1,24"
"04.07.2019","03:00","55,62","20,37","15,19","4,84","14,26","0,05","0,92"
"04.07.2019","04:00","57,87","22,53","15,17","4,78","13,98","0,47","0,94"
