"Tarih","Saat","Toplam (MWh)","Rüzgar (MWh)","Biyogaz (MWh)","Kanal Tipi (MWh)","Biyokütle (MWh)","Güneþ (MWh)","Diðer (MWh)"
"01.01.2018","00:00","26,22","0,00","0,00","0,00","0,00","26,22","0,00"
"01.01.2018","01:00","26,36","0,00","0,00","0,00","0,00","26,36","0,00"
"01.01.2018","02:00","26,18","0,00","0,00","0,00","0,00","26,18","0,00"
"01.01.2018","03:00","26,44","0,00","0,00","0,00","0,00","26,44","0,00"
"01.01.2018","04:00","26,18","0,00","0,00","0,00","0,00","26,18","0,00"
"01.01.2018","05:00","25,53","0,00","0,00","0,00","0,00","25,53","0,00"
"01.01.2018","06:00","35,54","0,00","0,00","0,00","0,00","35,54","0,00"
"01.01.2018","07:00","65,24","0,00","0,00","0,00","0,00","65,24","0,00"
"01.01.2018","08:00","252,58","0,00","0,00","0,00","0,00","252,58","0,00"
"01.01.2018","09:00","664,14","0,00","0,00","0,00","0,00","664,14","0,00"
"01.01.2018","10:00","1.117,74","0,00","0,00","0,00","0,00","1.117,74","0,00"
"01.01.2018","11:00","1.432,09","0,00","0,00","0,00","0,00","1.432,09","0,00"
"01.01.2018","12:00","1.553,13","0,00","0,00","0,00","0,00","1.553,13","0,00"
"01.01.2018","13:00","1.516,77","0,00","0,00","0,00","0,00","1.516,77","0,00"
"01.01.2018","14:00","1.288,36","0,00","0,00","0,00","0,00","1.288,36","0,00"
"01.01.2018","15:00","872,24","0,00","0,00","0,00","0,00","872,24","0,00"
"01.01.2018","16:00","395,07","0,00","0,00","0,00","0,00","395,07","0,00"
"01.01.2018","17:00","96,94","0,00","0,00","0,00","0,00","96,94","0,00"
"01.01.2018","18:00","38,34","0,00","0,00","0,00","0,00","38,34","0,00"
"01.01.2018","19:00","30,70","0,00","0,00","0,00","0,00","30,70","0,00"
"01.01.2018","20:00","30,97","0,00","0,00","0,00","0,00","30,97","0,00"
"01.01.2018","21:00","30,70","0,00","0,00","0,00","0,00","30,70","0,00"
"01.01.2018","22:00","33,27","0,00","0,00","0,00","0,00","33,27","0,00"
"01.01.2018","23:00","33,81","0,00","0,00","0,00","0,00","33,81","0,00"
"02.01.2018","00:00","33,04","0,00","0,00","0,00","0,00","33,04","0,00"
"02.01.2018","01:00","34,30","0,00","0,00","0,00","0,00","34,30","0,00"
"02.01.2018","02:00","34,65","0,00","0,00","0,00","0,00","34,65","0,00"
"02.01.2018","03:00","34,58","0,00","0,00","0,00","0,00","34,58","0,00"
"02.01.2018","04:00","35,69","0,00","0,00","0,00","0,00","35,69","0,00"
