"Tarih","Saat","Toplam (MWh)","Rüzgar (MWh)","Biyogaz (MWh)","Kanal Tipi (MWh)","Biyokütle (MWh)","Güneþ (MWh)","Diðer (MWh)"
"01.01.2020","00:00","35,69","1,13","17,62","3,40","13,52","0,00","0,01"
"01.01.2020","01:00","33,94","0,85","17,14","3,24","12,68","0,01","0,02"
"01.01.2020","02:00","34,69","1,08","16,85","3,10","13,54","0,07","0,06"
"01.01.2020","03:00","35,93","1,59","17,49","2,97","13,61","0,20","0,08"
"01.01.2020","04:00","36,79","2,23","17,52","2,80","13,59","0,57","0,07"
"01.01.2020","05:00","37,54","2,22","17,63","2,96","14,14","0,55","0,05"
"01.01.2020","06:00","36,90","1,43","17,59","3,03","14,22","0,63","0,01"
"01.01.2020","07:00","65,48","2,79","16,89","2,96","13,73","28,55","0,55"
"01.01.2020","08:00","271,48","4,37","16,83","2,95","13,15","232,43","1,75"
"01.01.2020","09:00","818,50","8,49","16,04","2,75","13,73","773,61","3,88"
"01.01.2020","10:00","1.378,88","13,60","15,42","2,97","13,36","1.326,66","6,88"
"01.01.2020","11:00","1.825,74","16,97","15,95","3,14","13,61","1.767,32","8,74"
"01.01.2020","12:00","1.993,37","18,47","15,59","2,69","14,21","1.933,42","8,99"
"01.01.2020","13:00","1.940,58","20,43","16,21","3,29","13,68","1.878,18","8,79"
"01.01.2020","14:00","1.596,12","26,22","17,49","3,28","14,16","1.528,58","6,40"
"01.01.2020","15:00","966,03","27,74","16,92","2,96","13,92","900,76","3,73"
"01.01.2020","16:00","377,27","28,64","16,85","3,07","14,25","312,90","1,57"
"01.01.2020","17:00","85,63","29,62","17,11","3,22","13,77","21,39","0,52"
"01.01.2020","18:00","64,27","29,10","17,17","3,32","13,61","0,48","0,57"
"01.01.2020","19:00","64,71","30,45","16,63","3,47","13,65","0,00","0,50"
"01.01.2020","20:00","66,19","30,87","17,35","3,65","13,52","0,00","0,79"
"01.01.2020","21:00","66,49","30,23","17,33","3,70","14,18","0,00","1,05"
"01.01.2020","22:00","64,40","28,98","17,30","3,71","14,29","0,00","0,11"
"01.01.2020","23:00","63,12","28,42","17,42","3,57","13,68","0,00","0,02"
"02.01.2020","00:00","66,33","31,19","17,39","3,89","13,82","0,00","0,04"
"02.01.2020","01:00","63,32","29,22","17,32","3,83","12,90","0,00","0,06"
"02.01.2020","02:00","63,51","28,33","17,27","3,61","14,20","0,00","0,10"
"02.01.2020","03:00","62,44","28,10","16,86","3,40","13,91","0,01","0,15"
"02.01.2020","04:00","65,36","30,83","16,75","3,25","14,41","0,02","0,10"
"02.01.2020","05:00","65,03","30,41","16,58","3,26","14,61","0,09","0,07"
"02.01.2020","06:00","64,26","30,04","16,40","3,08","14,49","0,24","0,01"
"02.01.2020","07:00","72,25","31,02","16,85","2,96","14,23","7,15","0,03"
"02.01.2020","08:00","167,92","29,58","14,50","3,00","12,92","107,24","0,69"
"02.01.2020","09:00","539,28","30,06","16,53","3,13","12,54","474,60","2,43"
"02.01.2020","10:00","1.100,36","30,31","17,16","2,98","12,95","1.031,36","5,60"
"02.01.2020","11:00","1.622,38","29,36","17,08","2,77","12,69","1.551,71","8,76"
"02.01.2020","12:00","1.888,58","29,70","17,13","2,82","13,76","1.815,19","9,99"
"02.01.2020","13:00","1.784,77","30,64","16,68","3,17","11,26","1.713,74","9,28"
"02.01.2020","14:00","1.430,45","30,77","16,73","3,22","12,65","1.360,13","6,96"
"02.01.2020","15:00","969,30","33,93","16,78","3,34","12,80","897,90","4,55"
"02.01.2020","16:00","430,77","33,40","16,70","3,46","13,78","361,63","1,80"
"02.01.2020","17:00","122,62","33,42","17,76","3,20","13,47","54,44","0,32"
"02.01.2020","18:00","70,23","33,12","17,73","3,20","14,34","1,83","0,01"
"02.01.2020","19:00","67,61","33,10","17,97","3,24","13,28","0,00","0,02"
"02.01.2020","20:00","65,92","31,18","17,64","3,44","13,65","0,00","0,01"
"02.01.2020","21:00","65,24","30,34","17,52","3,42","13,94","0,02","0,01"
"02.01.2020","22:00","62,34","27,28","17,39","3,38","14,28","0,00","0,00"
"02.01.2020","23:00","59,94","25,16","17,17","3,18","14,39","0,00","0,03"
"03.01.2020","00:00","59,55","24,75","17,50","3,27","13,97","0,00","0,05"
"03.01.2020","01:00","60,67","25,86","17,43","3,33","13,98","0,00","0,07"
"03.01.2020","02:00","59,96","25,23","17,20","3,40","13,88","0,05","0,19"
"03.01.2020","03:00","59,96","24,99","17,22","3,48","13,87","0,14","0,26"
"03.01.2020","04:00","58,93","23,85","17,25","3,55","13,89","0,18","0,22"
"03.01.2020","05:00","58,45","23,35","17,25","3,43","14,09","0,18","0,14"
"03.01.2020","06:00","58,39","23,38","17,25","3,44","14,06","0,25","0,02"
"03.01.2020","07:00","72,73","23,23","17,43","3,30","12,43","16,09","0,25"
"03.01.2020","08:00","238,35","22,21","17,45","3,43","13,30","180,38","1,58"
"03.01.2020","09:00","826,45","21,00","16,45","3,63","12,84","768,46","4,07"
"03.01.2020","10:00","1.534,57","19,86","15,26","3,75","13,06","1.474,84","7,80"
"03.01.2020","11:00","2.023,49","18,33","15,93","3,95","12,82","1.962,05","10,42"
"03.01.2020","12:00","2.185,49","18,86","15,68","3,76","14,24","2.121,48","11,47"
"03.01.2020","13:00","2.140,60","19,02","15,83","3,57","14,16","2.075,88","12,16"
"03.01.2020","14:00","1.819,09","19,46","16,29","3,41","14,21","1.754,77","10,96"
"03.01.2020","15:00","1.275,66","20,20","17,42","3,36","13,75","1.213,31","7,63"
"03.01.2020","16:00","629,51","18,39","17,72","3,24","13,28","573,27","3,62"
"03.01.2020","17:00","149,57","15,94","17,94","3,32","13,83","97,86","0,69"
"03.01.2020","18:00","51,72","13,37","17,53","3,20","14,06","3,57","0,01"
"03.01.2020","19:00","49,47","12,33","18,52","3,45","15,17","0,00","0,01"
"03.01.2020","20:00","47,75","10,77","19,02","3,53","14,41","0,00","0,01"
"03.01.2020","21:00","45,54","8,54","19,19","3,52","14,27","0,02","0,01"
"03.01.2020","22:00","43,66","6,98","19,09","3,62","13,97","0,00","0,01"
"03.01.2020","23:00","42,98","6,55","19,07","3,68","13,66","0,02","0,01"
"04.01.2020","00:00","39,89","5,99","17,70","3,32","12,86","0,00","0,02"
"04.01.2020","01:00","39,48","5,19","17,67","3,32","13,22","0,00","0,08"
"04.01.2020","02:00","39,98","4,59","17,71","3,23","14,37","0,01","0,07"
"04.01.2020","03:00","39,89","4,74","17,74","2,90","14,40","0,02","0,09"
"04.01.2020","04:00","39,15","4,65","17,42","2,78","14,17","0,05","0,08"
"04.01.2020","05:00","37,78","3,15","17,53","2,76","14,26","0,04","0,05"
"04.01.2020","06:00","35,41","2,86","16,26","2,20","14,00","0,08","0,01"
"04.01.2020","07:00","47,49","2,76","15,98","2,18","12,36","14,05","0,17"
"04.01.2020","08:00","157,76","2,36","14,56","2,27","12,84","124,38","1,35"
"04.01.2020","09:00","523,67","2,33","14,26","2,44","12,82","487,98","3,84"
"04.01.2020","10:00","973,14","2,10","16,93","3,02","12,07","932,24","6,77"
"04.01.2020","11:00","1.401,19","1,32","16,69","3,14","11,89","1.359,33","8,82"
"04.01.2020","12:00","1.643,76","0,78","16,61","3,02","12,56","1.601,47","9,33"
"04.01.2020","13:00","1.690,30","0,65","17,44","3,16","12,94","1.646,71","9,39"
"04.01.2020","14:00","1.516,03","0,62","15,40","3,03","13,26","1.475,03","8,68"
"04.01.2020","15:00","1.086,29","0,71","17,28","3,06","13,35","1.046,07","5,83"
"04.01.2020","16:00","531,72","0,74","18,12","3,60","14,05","492,38","2,82"
"04.01.2020","17:00","130,73","1,01","17,65","3,77","14,30","93,37","0,64"
"04.01.2020","18:00","42,47","1,69","17,58","3,83","14,35","5,00","0,02"
"04.01.2020","19:00","37,53","2,03","17,79","3,84","13,47","0,38","0,02"
"04.01.2020","20:00","37,28","2,24","17,83","3,63","13,25","0,32","0,01"
"04.01.2020","21:00","37,85","2,80","17,49","3,61","13,69","0,25","0,01"
"04.01.2020","22:00","37,60","2,91","17,44","3,60","13,48","0,16","0,01"
"04.01.2020","23:00","39,10","3,60","17,88","3,61","13,95","0,05","0,01"
"05.01.2020","00:00","39,15","3,46","18,20","3,49","13,96","0,02","0,02"
"05.01.2020","01:00","39,42","3,32","18,28","3,49","14,29","0,01","0,04"
"05.01.2020","02:00","38,77","2,91","18,26","3,11","14,40","0,05","0,05"
"05.01.2020","03:00","38,77","2,68","18,17","3,12","14,42","0,25","0,14"
"05.01.2020","04:00","37,66","1,95","18,40","3,05","13,63","0,58","0,05"
"05.01.2020","05:00","39,94","3,49","18,02","3,04","14,66","0,71","0,03"
"05.01.2020","06:00","39,55","4,26","17,22","3,08","14,19","0,80","0,01"
"05.01.2020","07:00","68,73","4,37","16,30","3,42","13,59","30,68","0,37"
"05.01.2020","08:00","295,96","5,81","15,78","3,73","13,30","255,50","1,85"
"05.01.2020","09:00","931,14","7,13","16,47","3,56","12,79","886,88","4,31"
"05.01.2020","10:00","1.652,85","6,81","16,69","3,43","12,17","1.607,32","6,43"
"05.01.2020","11:00","2.187,93","8,42","17,13","3,32","12,87","2.137,52","8,66"
"05.01.2020","12:00","2.387,72","10,81","16,94","3,31","13,78","2.333,85","9,02"
"05.01.2020","13:00","2.330,99","14,12","17,77","3,40","14,33","2.271,41","9,96"
"05.01.2020","14:00","1.937,86","17,35","17,96","3,61","14,16","1.876,78","8,00"
"05.01.2020","15:00","1.231,69","21,29","17,95","3,67","14,21","1.169,52","5,05"
"05.01.2020","16:00","554,86","28,10","17,90","3,67","13,85","489,41","1,93"
"05.01.2020","17:00","118,17","31,02","18,00","3,53","13,52","51,80","0,28"
"05.01.2020","18:00","68,56","32,15","18,17","3,47","13,50","1,12","0,15"
"05.01.2020","19:00","66,96","31,94","17,95","3,47","13,50","0,00","0,10"
"05.01.2020","20:00","66,74","31,66","18,17","3,62","13,27","0,00","0,03"
"05.01.2020","21:00","69,65","33,61","18,01","3,70","13,99","0,00","0,35"
"05.01.2020","22:00","69,89","34,82","17,66","3,61","13,65","0,00","0,15"
"05.01.2020","23:00","69,65","33,82","18,19","3,52","13,67","0,00","0,44"
"06.01.2020","00:00","69,99","33,55","18,24","3,49","14,15","0,01","0,54"
"06.01.2020","01:00","71,10","34,17","18,02","3,49","14,78","0,00","0,63"
"06.01.2020","02:00","69,76","33,13","18,07","3,37","14,18","0,03","0,97"
"06.01.2020","03:00","69,03","32,27","18,12","3,43","14,11","0,08","1,03"
"06.01.2020","04:00","67,84","31,49","18,03","3,23","14,18","0,10","0,81"
"06.01.2020","05:00","65,60","29,89","18,21","3,25","13,23","0,24","0,78"
"06.01.2020","06:00","63,92","28,73","18,21","3,03","13,09","0,26","0,61"
"06.01.2020","07:00","69,92","27,77","16,77","2,96","13,36","8,35","0,71"
"06.01.2020","08:00","163,30","25,88","16,90","3,19","13,32","103,27","0,73"
"06.01.2020","09:00","409,43","24,92","16,94","3,40","13,76","348,84","1,58"
"06.01.2020","10:00","648,69","23,50","17,32","3,48","12,57","589,96","1,86"
"06.01.2020","11:00","798,69","22,90","17,78","3,68","10,26","741,68","2,39"
"06.01.2020","12:00","884,81","28,31","17,94","3,68","11,35","821,09","2,44"
"06.01.2020","13:00","861,04","28,55","17,90","3,70","12,31","796,42","2,16"
"06.01.2020","14:00","705,60","27,48","17,79","3,45","14,50","640,55","1,83"
"06.01.2020","15:00","460,04","27,79","18,01","3,48","14,46","394,90","1,41"
"06.01.2020","16:00","207,87","27,58","17,58","3,26","14,52","143,66","1,26"
"06.01.2020","17:00","74,59","25,37","16,66","3,13","14,09","14,83","0,52"
"06.01.2020","18:00","58,45","23,55","16,83","3,25","13,87","0,65","0,30"
"06.01.2020","19:00","59,92","25,13","17,16","3,25","13,88","0,13","0,37"
"06.01.2020","20:00","61,09","25,35","17,98","3,10","14,00","0,05","0,62"
"06.01.2020","21:00","59,81","24,69","18,09","2,94","13,51","0,03","0,56"
"06.01.2020","22:00","58,32","23,58","17,68","3,06","13,65","0,02","0,35"
"06.01.2020","23:00","57,84","23,10","17,44","3,08","13,94","0,00","0,29"
"07.01.2020","00:00","59,10","24,57","17,67","3,12","13,66","0,00","0,08"
"07.01.2020","01:00","57,25","23,93","16,16","3,03","14,01","0,01","0,11"
"07.01.2020","02:00","56,05","23,18","16,37","3,06","13,24","0,04","0,16"
"07.01.2020","03:00","57,57","24,13","16,39","3,06","13,42","0,09","0,48"
"07.01.2020","04:00","57,96","24,70","16,20","2,94","13,58","0,12","0,42"
"07.01.2020","05:00","57,25","24,40","16,88","2,82","12,71","0,11","0,33"
"07.01.2020","06:00","58,59","25,67","16,86","2,80","12,73","0,17","0,35"
"07.01.2020","07:00","65,60","22,05","17,47","2,79","13,09","9,63","0,58"
"07.01.2020","08:00","185,54","19,92","17,47","2,64","13,05","130,71","1,76"
"07.01.2020","09:00","488,97","19,39","16,86","2,85","12,94","432,83","4,09"
"07.01.2020","10:00","868,29","21,96","16,97","2,83","13,68","807,73","5,12"
"07.01.2020","11:00","1.185,45","22,41","17,28","2,83","14,03","1.122,34","6,57"
"07.01.2020","12:00","1.283,64","20,67","17,16","2,93","14,72","1.221,87","6,29"
"07.01.2020","13:00","1.274,35","20,64","16,42","2,70","13,96","1.214,12","6,50"
"07.01.2020","14:00","1.055,14","23,50","16,39","3,01","10,62","995,94","5,67"
"07.01.2020","15:00","658,64","24,18","17,30","3,43","10,88","599,59","3,26"
"07.01.2020","16:00","280,75","22,71","17,13","2,99","11,12","225,53","1,26"
