"Tarih","Saat","Toplam (MWh)","Rüzgar (MWh)","Biyogaz (MWh)","Kanal Tipi (MWh)","Biyokütle (MWh)","Güneþ (MWh)","Diðer (MWh)"
"01.07.2018","00:00","31,13","4,08","12,47","3,27","11,03","0,13","0,15"
"01.07.2018","01:00","30,93","3,09","12,30","3,16","12,08","0,15","0,16"
"01.07.2018","02:00","30,65","2,98","12,75","3,15","11,50","0,13","0,15"
"01.07.2018","03:00","30,37","2,51","12,79","3,01","11,69","0,17","0,20"
"01.07.2018","04:00","28,66","1,48","12,20","3,28","10,90","0,62","0,19"
"01.07.2018","05:00","50,31","0,88","12,54","3,32","11,76","21,63","0,18"
"01.07.2018","06:00","260,37","0,59","10,60","3,52","10,54","234,94","0,18"
"01.07.2018","07:00","944,01","0,25","9,68","2,57","10,23","921,03","0,25"
"01.07.2018","08:00","1.931,16","0,24","11,25","3,06","11,29","1.904,97","0,35"
"01.07.2018","09:00","2.810,53","0,85","13,45","3,36","11,41","2.781,02","0,44"
"01.07.2018","10:00","3.429,28","2,06","13,19","3,69","11,23","3.398,61","0,51"
"01.07.2018","11:00","3.710,65","2,25","12,47","3,78","10,63","3.681,04","0,48"
"01.07.2018","12:00","3.726,04","2,94","13,13","3,61","12,12","3.693,68","0,55"
"01.07.2018","13:00","3.616,31","3,41","12,75","3,79","12,08","3.583,77","0,52"
"01.07.2018","14:00","3.359,93","3,89","13,11","3,70","11,50","3.327,29","0,44"
"01.07.2018","15:00","2.946,46","4,86","13,04","3,50","11,04","2.913,64","0,38"
"01.07.2018","16:00","2.331,73","6,31","12,93","3,53","11,90","2.296,80","0,26"
"01.07.2018","17:00","1.502,97","7,06","13,09","3,55","11,38","1.467,61","0,28"
"01.07.2018","18:00","648,20","8,39","11,90","3,72","11,15","612,81","0,24"
"01.07.2018","19:00","174,83","8,45","12,79","3,65","10,87","138,87","0,20"
"01.07.2018","20:00","48,54","8,45","12,99","3,80","10,92","12,19","0,19"
"01.07.2018","21:00","38,35","9,05","13,26","3,70","11,57","0,57","0,20"
"01.07.2018","22:00","38,69","9,01","13,48","3,76","12,16","0,13","0,15"
"01.07.2018","23:00","37,86","8,86","13,21","3,79","11,72","0,15","0,13"
"02.07.2018","00:00","38,89","9,89","13,31","3,69","10,30","1,57","0,13"
"02.07.2018","01:00","38,14","9,46","13,49","3,46","11,47","0,14","0,12"
"02.07.2018","02:00","35,38","7,50","13,05","3,59","10,97","0,16","0,12"
"02.07.2018","03:00","36,34","7,53","12,99","3,64","11,90","0,18","0,12"
"02.07.2018","04:00","33,58","6,25","11,54","3,46","11,63","0,57","0,12"
"02.07.2018","05:00","54,02","6,55","11,60","3,45","10,88","21,37","0,17"
"02.07.2018","06:00","259,92","6,24","11,74","3,46","10,68","227,63","0,18"
"02.07.2018","07:00","921,04","4,07","11,45","3,49","10,16","891,60","0,26"
"02.07.2018","08:00","1.873,75","3,06","11,50","3,69","10,82","1.844,45","0,22"
"02.07.2018","09:00","2.749,09","4,02","10,90","3,65","10,20","2.720,00","0,32"
"02.07.2018","10:00","3.372,74","4,55","11,06","3,62","9,83","3.343,28","0,39"
"02.07.2018","11:00","3.756,49","5,88","10,28","3,56","9,98","3.726,41","0,37"
"02.07.2018","12:00","3.837,99","6,62","11,11","3,59","10,47","3.805,79","0,40"
"02.07.2018","13:00","3.672,32","10,30","10,61","3,57","10,07","3.637,46","0,31"
"02.07.2018","14:00","3.449,71","11,64","12,31","3,53","10,92","3.410,99","0,32"
"02.07.2018","15:00","2.991,23","11,68","12,63","3,67","5,56","2.957,40","0,28"
"02.07.2018","16:00","2.361,32","10,85","12,15","3,68","6,24","2.328,11","0,28"
"02.07.2018","17:00","1.513,68","10,86","12,30","3,87","9,60","1.476,77","0,29"
