"Tarih","Saat","Toplam (MWh)","Rüzgar (MWh)","Biyogaz (MWh)","Kanal Tipi (MWh)","Biyokütle (MWh)","Güneþ (MWh)","Diðer (MWh)"
"01.12.2020","00:00","64,65","29,51","17,14","1,22","14,86","0,65","1,28"
"01.12.2020","01:00","65,41","29,07","17,14","1,26","15,93","0,70","1,30"
"01.12.2020","02:00","67,32","29,88","18,36","1,25","15,53","0,96","1,35"
"01.12.2020","03:00","66,77","29,35","18,09","1,08","15,72","0,95","1,58"
"01.12.2020","04:00","65,12","28,21","17,57","1,01","15,46","1,29","1,58"
"01.12.2020","05:00","63,83","27,42","17,57","1,24","15,06","1,59","0,96"
"01.12.2020","06:00","64,73","27,86","17,59","0,89","15,05","2,41","0,94"
"01.12.2020","07:00","91,93","27,22","17,31","0,79","15,29","29,38","1,93"
"01.12.2020","08:00","269,62","25,33","17,48","0,77","15,14","209,25","1,64"
"01.12.2020","09:00","647,62","23,72","17,34","0,68","14,35","589,13","2,40"
"01.12.2020","10:00","1.163,42","23,51","17,01","0,92","14,63","1.103,76","3,60"
"01.12.2020","11:00","1.705,44","22,41","16,00","1,12","15,77","1.645,75","4,38"
"01.12.2020","12:00","1.812,83","22,64","16,60","1,16","15,42","1.752,01","5,00"
"01.12.2020","13:00","1.687,52","21,50","16,64","1,61","14,27","1.628,70","4,80"
"01.12.2020","14:00","1.294,99","20,58","15,59","1,63","15,57","1.237,73","3,89"
"01.12.2020","15:00","812,15","19,95","16,17","1,73","15,36","755,90","3,04"
"01.12.2020","16:00","316,90","20,10","16,25","1,63","15,38","261,78","1,77"
"01.12.2020","17:00","77,03","19,27","16,65","1,03","15,59","23,33","1,17"
"01.12.2020","18:00","56,66","19,70","16,52","0,97","15,70","3,13","0,65"
"01.12.2020","19:00","54,94","20,12","16,60","1,02","16,05","0,42","0,74"
"01.12.2020","20:00","53,60","19,33","15,65","1,30","14,94","1,60","0,78"
"01.12.2020","21:00","53,70","18,82","16,47","1,34","15,83","0,47","0,78"
"01.12.2020","22:00","51,29","16,91","16,40","1,32","15,95","0,52","0,19"
"01.12.2020","23:00","48,40","14,89","14,99","1,28","15,59","1,31","0,34"
"02.12.2020","00:00","45,83","13,15","15,14","1,27","15,01","1,09","0,19"
"02.12.2020","01:00","46,65","13,27","14,96","1,20","15,48","1,59","0,16"
"02.12.2020","02:00","47,70","13,02","15,22","1,34","15,81","2,20","0,11"
"02.12.2020","03:00","49,06","13,94","15,72","1,37","15,38","2,54","0,12"
"02.12.2020","04:00","48,25","13,67","15,85","1,34","13,69","3,54","0,15"
"02.12.2020","05:00","47,94","11,93","15,85","1,28","14,81","3,96","0,10"
"02.12.2020","06:00","49,66","10,76","15,88","1,26","14,89","6,46","0,42"
"02.12.2020","07:00","105,54","10,53","15,88","0,92","14,22","63,37","0,62"
"02.12.2020","08:00","499,48","9,39","15,63","0,87","14,19","458,50","0,90"
"02.12.2020","09:00","1.417,80","7,27","15,34","0,63","11,55","1.380,14","2,87"
"02.12.2020","10:00","2.460,52","6,25","15,32","1,12","12,63","2.421,18","4,02"
"02.12.2020","11:00","3.159,95","5,05","16,74","1,14","13,46","3.119,43","4,13"
"02.12.2020","12:00","3.407,35","4,92","16,57","1,39","14,11","3.365,17","5,20"
"02.12.2020","13:00","3.097,14","5,26","16,95","1,87","15,19","3.053,14","4,73"
