"Tarih","Saat","Toplam (MWh)","Rüzgar (MWh)","Biyogaz (MWh)","Kanal Tipi (MWh)","Biyokütle (MWh)","Güneþ (MWh)","Diðer (MWh)"
"01.01.2019","00:00","56,81","21,93","14,43","6,31","14,11","0,03","0,00"
"01.01.2019","01:00","58,06","22,76","15,03","6,15","14,10","0,03","0,00"
"01.01.2019","02:00","59,53","24,18","15,15","6,04","14,13","0,03","0,00"
"01.01.2019","03:00","60,06","25,14","15,01","6,33","13,55","0,03","0,00"
"01.01.2019","04:00","59,62","23,90","15,49","6,27","13,91","0,05","0,00"
"01.01.2019","05:00","57,50","22,64","14,97","6,17","13,61","0,10","0,00"
"01.01.2019","06:00","62,96","24,80","16,06","5,89","14,04","2,16","0,00"
"01.01.2019","07:00","70,75","26,10","16,00","5,95","13,99","8,72","0,00"
"01.01.2019","08:00","163,32","27,13","15,99","5,75","13,68","100,75","0,01"
"01.01.2019","09:00","443,48","25,39","15,99","5,57","13,54","382,94","0,04"
"01.01.2019","10:00","773,47","25,33","15,58","5,89","13,81","712,73","0,12"
"01.01.2019","11:00","1.009,08","26,83","15,72","6,05","13,05","947,30","0,13"
"01.01.2019","12:00","1.123,17","27,65","15,33","6,43","13,37","1.060,33","0,06"
"01.01.2019","13:00","1.085,55","29,20","15,78","6,29","13,88","1.020,34","0,06"
"01.01.2019","14:00","885,81","29,13","16,39","6,28","14,08","819,88","0,05"
"01.01.2019","15:00","556,90","30,34","16,47","6,25","13,97","489,85","0,02"
"01.01.2019","16:00","253,86","30,90","16,75","6,29","14,14","185,77","0,02"
"01.01.2019","17:00","80,18","28,81","15,70","6,43","14,40","14,82","0,03"
"01.01.2019","18:00","70,88","27,14","15,91","6,42","14,21","7,18","0,02"
"01.01.2019","19:00","64,16","26,19","17,03","6,60","14,29","0,05","0,00"
"01.01.2019","20:00","59,71","24,21","14,71","6,00","14,78","0,01","0,01"
"01.01.2019","21:00","56,40","20,72","14,97","6,06","14,62","0,03","0,00"
"01.01.2019","22:00","54,90","19,57","14,99","5,89","14,43","0,02","0,00"
"01.01.2019","23:00","60,09","20,09","15,00","5,92","14,55","4,52","0,00"
